,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
4481,4481,December 3,The One That Got Away,Katy Perry,3,January 7,11,6hkOqJ5mE093AQf2lbZnsG
4482,4482,December 17,Niggas in Paris,Jay-Z and Kanye West,5,January 7,8,N
4483,4483,January 7,Dance (A$$),Big Sean featuring Nicki Minaj,10,January 7,1,3ZAMtgYJFoHwJjFkhkXqKr
4484,4484,January 7,Set Fire to the Rain,Adele,1,February 4,14,73CMRj62VK8nUS4ezD2wvi
4485,4485,January 21,I Won't Give Up,Jason Mraz,8,January 21,1,53QF56cjZA9RTuuMZDrSA6
4486,4486,January 28,Rack City,Tyga,7,February 18,4,0srwKuJPH8yBzzFUJMBQM2
4487,4487,January 28,Turn Me On,David Guetta featuring Nicki Minaj,4,February 4,10,6JOlNkT0QdHeZB0wPbI9IR
4488,4488,February 4,Domino,Jessie J,6,February 18,3,6MAdEUilV2p9RQUqE5bMAK
4489,4489,February 4,Stronger (What Doesn't Kill You),Kelly Clarkson,1,February 18,16,6D60klaHqbCl9ySc8VcRss
4490,4490,February 25,Give Me All Your Luvin',Madonna featuring Nicki Minaj and M.I.A.,10,February 25,1,2woCC5hiuPTDAonxhEojP0
4491,4491,February 25,I Will Always Love You,Whitney Houston,3,March 3,2,4eHbdreAnSOrDDsFfc4Fpm
4492,4492,February 25,We Are Young,Fun featuring Janelle Monáe,1,March 17,22,7a86XRg84qjasly9f6bPSD
4493,4493,March 3,Part of Me,Katy Perry,1,March 3,9,6yARPLK0PV4heEyh7pVMGz
4494,4494,March 3,Starships,Nicki Minaj,5,April 7,21,1oHNvJVbFkexQc0BpQp7Y4
4495,4495,March 3,Turn Up the Music,Chris Brown,10,March 3,1,1RMRkCn07y2xtBip9DzwmC
4496,4496,March 10,Glad You Came,The Wanted,3,March 31,15,5yDL13y5giogKs2fSNf7sj
4497,4497,March 17,Somebody That I Used to Know,Gotye featuring Kimbra,1,April 28,24,4wCmqSrbyCgxEXROQE6vtV
4498,4498,March 31,Wild Ones,Flo Rida featuring Sia,5,May 19,14,1NpW5kyvO4XrNJ3rnfcNy3
4499,4499,April 14,Boyfriend,Justin Bieber,2,April 14,12,3UGIZ8qcrMTwzLbx6Kttqt
4500,4500,April 14,Call Me Maybe,Carly Rae Jepsen,1,June 23,23,3TGRqZ0a2l1LRblBkJoaDx
4501,4501,April 14,What Makes You Beautiful,One Direction,4,April 21,13,4cluDES4hQEUhmXj6TXkSo
4502,4502,May 5,Payphone,Maroon 5 featuring Wiz Khalifa,2,May 26,19,4P0osvTXoSYZZC2n8IFH3c
4503,4503,May 26,Drive By,Train,10,May 26,2,0KAiuUOrLTIkzkpfpn9jb9
4504,4504,June 16,Where Have You Been,Rihanna,5,July 7,11,5WQQIDU3HRaMyPkob8mpFb
4505,4505,June 23,Wide Awake,Katy Perry,2,August 11,13,5JLv62qFIS1DR3zGEcApRt
4506,4506,July 7,Lights,Ellie Goulding,2,August 18,14,11ozIUBoXAgRTVWelDn4pL
4507,4507,July 7,Scream,Usher,9,August 4,6,12eMQUn2GzfsfsQLH53M19
4508,4508,July 14,Titanium,David Guetta featuring Sia,7,July 21,8,0lHAMNU8RGiIObScrsRgmP
4509,4509,July 28,Blow Me (One Last Kiss),Pink,5,September 29,11,N
4510,4510,July 28,Whistle,Flo Rida,1,August 25,12,3bC1ahPIYt1btJzSSEyyrF
4511,4511,August 25,Some Nights,Fun,3,September 29,19,7a86XRg84qjasly9f6bPSD
4512,4512,September 1,As Long as You Love Me,Justin Bieber featuring Big Sean,6,September 29,12,0pwYLVXVknPSGUQb39cePC
4513,4513,September 1,One More Night,Maroon 5,1,September 29,21,4XNrMwGx1SqP01sqkGTDmo
4514,4514,September 1,We Are Never Ever Getting Back Together,Taylor Swift,1,September 1,13,5YqltLsjdqFtvqE7Nrysvs
4515,4515,September 8,Good Time,Owl City and Carly Rae Jepsen,8,September 15,7,1kPpge9JDLpcj15qgrPbYX
4516,4516,September 15,Everybody Talks,Neon Trees,6,September 15,3,2iUmqdfGZcHIhS3b9E9EWq
4517,4517,September 22,Too Close,Alex Clare,7,October 27,10,4sK96UnGx3NjBaqvfTG2dm
4518,4518,October 6,Gangnam Style,Psy,2,October 6,12,03UrZgTINDqvnUMbbIMhql
4519,4519,October 13,Begin Again,Taylor Swift,7,October 13,1,05GsNucq8Bngd9fnd4fRa0
4520,4520,October 20,Live While We're Young,One Direction,3,October 20,1,6Vh03bkEfXqekWp7Y1UBRb
4521,4521,October 20,Red,Taylor Swift,6,October 20,1,5enxwA8aAbwZbf5qCHORXi
4522,4522,October 20,Skyfall,Adele,8,October 20,1,6VObnIkLVruX4UVyxWhlqm
4523,4523,October 27,Die Young,Kesha,2,December 8,12,7EQGXaVSyEDsCWKmUcfpLk
4524,4524,November 3,Diamonds,Rihanna,1,December 1,15,1z9kQ14XBSN0r2v6fx4IdG
4525,4525,November 3,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,6,December 1,8,4kte3OcW800TPvOVgrLLj8
4526,4526,November 10,Don't Wake Me Up,Chris Brown,10,November 10,1,18VfHIPaCo0s6FTi1Fnp6T
4527,4527,November 10,Locked Out of Heaven,Bruno Mars,1,December 22,20,3w3y8KPTfNeOKPiqUTakBh
4528,4528,November 24,I Cry,Flo Rida,6,December 22,9,4bZd0nRuX8HyjeXAUBczvm
4529,4529,December 1,Ho Hey,The Lumineers,3,December 29,14,0W4Kpfp1w2xkY3PrV714B7
4530,4530,June 9,Home,Phillip Phillips,6,January 19,13,1EAgPzRbK9YmdOESSMUm6P
4531,4531,October 27,I Knew You Were Trouble,Taylor Swift,2,January 12,16,6AtZLIzUINvExIUy4QhdjP
4532,4532,December 22,Beauty and a Beat,Justin Bieber featuring Nicki Minaj,5,January 5,10,6QFCMUUq1T2Vf5sFUXcuQ7
4533,4533,January 5,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,1,February 2,21,6CjtS2JZH9RkDz5UVInsa9
4534,4534,January 19,Scream & Shout,will.i.am and Britney Spears,3,February 16,11,2iJuuzV8P9Yz0VSurttIV5
4535,4535,January 26,Don't You Worry Child,Swedish House Mafia featuring John Martin,6,February 9,6,2V65y3PX4DkRhy1djlxd9p
4536,4536,February 2,Suit & Tie,Justin Timberlake featuring Jay-Z,3,April 6,13,6vt0I1cw1YmAIKDJvHVIM5
4537,4537,February 9,Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",8,February 16,2,N
4538,4538,February 16,Sweet Nothing,Calvin Harris featuring Florence Welch,10,February 16,1,24LS4lQShWyixJ0ZrJXfJ5
4539,4539,February 16,Try,Pink,9,February 16,1,6yL8vmNnWrD1VdcV5VhXTt
4540,4540,February 23,Daylight,Maroon 5,7,February 23,1,6TwfdLbaxTKzQi3AgsZNzx
4541,4541,February 23,When I Was Your Man,Bruno Mars,1,April 20,16,0nJW01T7XtvILxQgC5J7Wh
4542,4542,March 2,Harlem Shake,Baauer,1,March 2,8,01XFgRZfZI7oBagNf1Loml
4543,4543,March 2,Started from the Bottom,Drake,6,March 9,10,5DI9jxTHrEiFAhStG7VA8E
4544,4544,March 2,Stay,Rihanna featuring Mikky Ekko,3,March 2,16,789CxjEOtO76BVD1A9yJQH
4545,4545,March 9,Love Me,Lil Wayne featuring Future and Drake,9,March 23,4,2XHzzp1j4IfTNp1FTn7YFg
4546,4546,March 30,Just Give Me a Reason,Pink featuring Nate Ruess,1,April 27,15,1SoXUDpHcBAJLFL6XIxlwo
4547,4547,April 6,Feel This Moment,Pitbull featuring Christina Aguilera,8,April 6,7,0Hf4aIJpsN4Os2f0y0VqWl
4548,4548,April 13,The Way,Ariana Grande featuring Mac Miller,9,June 22,4,06EL94D0TA27Ik0Ke5usbj
4549,4549,April 13,Radioactive,Imagine Dragons,3,July 6,20,4G8gkOterJn0Ywt6uhqbhp
4550,4550,April 20,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton,1,May 18,17,3bidbhpOYeV4knp8AIu8Xn
4551,4551,April 20,Cruise (Remix),Florida Georgia Line featuring Nelly,4,July 6,14,0jHSdjxn9LfzNL0WkDu93W
4552,4552,April 27,Heart Attack,Demi Lovato,10,April 27,1,1V6gIisPpYqgFeWbMLI0bA
4553,4553,April 27,Mirrors,Justin Timberlake,2,June 15,15,4rHZZAmHpZrA3iH5zx8frV
4554,4554,May 4,Gentleman,Psy,5,May 4,1,26spalP6x2gUAab8rwB8dQ
4555,4555,May 11,I Love It,Icona Pop featuring Charli XCX,7,May 18,8,6HZ9VeI5IRFCNQLXhpF4bq
4556,4556,May 25,Come & Get It,Selena Gomez,6,May 25,9,4P5KoWXOxwuobLmHXLMobV
4557,4557,June 1,Get Lucky,Daft Punk featuring Pharrell Williams,2,June 29,15,2Foc5Q5nqNiosCNqttzHof
4558,4558,June 15,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,1,June 22,21,0n4bITAu0Y0nigrz3MFJMb
4559,4559,July 6,Treasure,Bruno Mars,5,August 3,9,55h7vJchibLdUkxdlX3fK7
4560,4560,July 6,We Can't Stop,Miley Cyrus,2,August 3,11,2y4lAQpi5VTNLu2ldeTdUH
4561,4561,July 20,Cups (Pitch Perfect's ,Anna Kendrick,6,August 17,7,6mH3qVIeOsnQIAho5eWwhH
4562,4562,July 27,Holy Grail,Jay-Z featuring Justin Timberlake,4,September 21,16,37jTPJgwCCmIGMPB45jrPV
4563,4563,August 10,Best Song Ever,One Direction,2,August 10,1,5T7ZFtCcOgkpjxcuaeZbw0
4564,4564,August 17,Clarity,Zedd featuring Foxes,8,August 17,2,60wwxj6Dd9NJlirf84wr2c
4565,4565,August 17,Love Somebody,Maroon 5,10,August 17,2,0HnaqUxvHP5LaWdmWwJpiS
4566,4566,August 17,Safe and Sound,Capital Cities,8,September 7,6,6Z8R6UsFuGXGtiIxiD8ISb
4567,4567,August 31,Applause,Lady Gaga,4,September 7,14,5ka2ajep9OAvU5Sgduhiex
4568,4568,August 31,Roar,Katy Perry,1,September 14,17,27tNWlhdAryQY04Gb2ZhUI
4569,4569,September 7,Summertime Sadness (Remix),Lana Del Rey featuring Cedric Gervais,6,September 21,8,6PUIzlqotEmPuBfjbwYWOB
4570,4570,September 7,Wake Me Up!,Avicii,4,October 5,21,0nrRP2bk19rLc0orkWPQk2
4571,4571,September 14,Berzerk,Eminem,3,September 14,3,6Xk7PnitV9jCRorWt2LiVZ
4572,4572,September 14,Royals,Lorde,1,October 12,23,2dLLR6qlu5UJ5gk0dKz0h3
4573,4573,September 21,"Hold On, We're Going Home",Drake featuring Majid Jordan,4,October 12,13,2aSC2xhRxOLiiZZVjhbylH
4574,4574,September 28,Wrecking Ball,Miley Cyrus,1,September 28,16,2vwlzO0Qp8kfEtzTsCXfyE
4575,4575,October 12,The Fox (What Does the Fox Say?),Ylvis,6,October 19,5,5HOpkTTVcmZHnthgyxrIL8
4576,4576,November 2,Rap God,Eminem,7,November 2,1,6or1bKJiZ06IlK0vFvY75k
4577,4577,November 9,Demons,Imagine Dragons,6,December 7,12,3LlAyCYU26dvFZBDUIMb7a
4578,4578,November 16,The Monster,Eminem featuring Rihanna,1,December 21,13,48RrDBpOSSl1aLVCalGl5C
4579,4579,November 16,Story of My Life,One Direction,6,November 16,7,4nVBt6MZDDP6tRVdQTgxJg
4580,4580,November 23,Dope,Lady Gaga,8,November 23,1,1gPCk3KUE83rPdz9QqGsX9
4581,4581,December 14,Say Something,A Great Big World and Christina Aguilera,4,December 28,14,6Vc5wAMmXdKIAM7WUoEb7N
4582,4582,November 9,Counting Stars,OneRepublic,2,January 18,25,6sy3LkhNFjJWlaeSMNwQ62
4583,4583,November 30,Timber,Pitbull featuring Kesha,1,January 18,17,3cHyrEgdyYRjgJKSOiOtcS
4584,4584,December 7,Let Her Go,Passenger,5,February 22,12,1KxwZYyzWNyZSRyErj2ojT
4585,4585,January 18,Dark Horse,Katy Perry featuring Juicy J,1,February 8,22,4jbmgIyjGoXjY01XxatOx6
4586,4586,February 1,Pompeii,Bastille,5,March 15,15,3gbBpTdY8lnQwqxNCcf795
4587,4587,February 1,Team,Lorde,6,March 15,14,3G6hD9B2ZHOsgf4WfNu7X1
4588,4588,February 8,Talk Dirty,Jason Derulo featuring 2 Chainz,3,February 22,18,6g6A7qNhTfUgOSH7ROOxTD
4589,4589,February 15,Drunk in Love,Beyoncé featuring Jay Z,2,February 15,8,6jG2YzhxptolDzLHTGLt7S
4590,4590,February 15,Happy,Pharrell Williams,1,March 8,22,60nZcImufyMA1MKQY3dcCH
4591,4591,March 8,All of Me,John Legend,1,May 17,23,3U4isOIWM3VvDubwSI3y7a
4592,4592,March 22,Let It Go,Idina Menzel,5,April 5,9,0qcr5FMsEO85NAQjrlDRKo
4593,4593,March 29,We Might Be Dead byTomorrow,Soko,9,March 29,1,N
4594,4594,March 29,The Man,Aloe Blacc,8,April 12,5,2stPxcgjdSImK7Gizl8ZUN
4595,4595,April 12,Turn Down for What,DJ Snake and Lil Jon,4,June 14,15,67awxiNHNyjMXhVgsHuIrs
4596,4596,May 3,Loyal,Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,9,May 3,2,5BrTUo0xP1wKXLJWUaGFtk
4597,4597,May 3,Not a Bad Thing,Justin Timberlake,8,May 3,6,3nB82yGjtbQFSU0JLAwLRH
4598,4598,May 10,Fancy,Iggy Azalea featuring Charli XCX,1,June 7,17,3oiMJQAWVaxSubJ7b2VUtX
4599,4599,May 17,Problem,Ariana Grande featuring Iggy Azalea,2,June 7,16,7vS3Y0IKjde7Xg85LWIEdP
4600,4600,May 24,Ain't It Fun,Paramore,10,May 24,1,1j8z4TTjJ1YOdoFEDwJTQa
4601,4601,May 31,Love Never Felt So Good,Michael Jackson and Justin Timberlake,9,May 31,1,48td6xvpokdYwvbl3JIiXP
4602,4602,May 31,A Sky Full of Stars,Coldplay,10,May 31,1,0FDzzruyVECATHXKHFs9eJ
4603,4603,June 7,Am I Wrong,Nico & Vinz,4,July 5,14,1fidCEsYlaVE3pHwKCvpFZ
4604,4604,June 7,Wiggle,Jason Derulo featuring Snoop Dogg,5,June 21,9,2sLwPnIP3CUVmIuHranJZU
4605,4605,June 14,Rude,Magic!,1,July 26,16,6RtPijgfPKROxEzTHNRiDp
4606,4606,June 14,Summer,Calvin Harris,7,July 19,9,6YUTL4dYpB9xZO5qExPf05
4607,4607,June 21,Stay With Me,Sam Smith,2,August 16,21,5Nm9ERjJZ5oyfXZTECKmRt
4608,4608,July 19,Maps,Maroon 5,6,August 9,8,4gbVRS8gloEluzf0GzDOFc
4609,4609,July 26,Latch,Disclosure featuring Sam Smith,7,August 9,4,1DunhgeZSEgWiIYbHqXl0c
4610,4610,August 9,Chandelier,Sia,8,August 23,8,2s1sdSqGcKxpPr5lCl7jAV
4611,4611,August 16,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",3,October 4,16,0puf9yIluy9W0vpMEUoAnN
4612,4612,August 16,All About That Bass,Meghan Trainor,1,September 20,25,5jE48hhRu8E6zBDPRSkEq7
4613,4613,August 23,Boom Clap,Charli XCX,8,October 4,4,0Y1MWB026LYxGvhq4EcMiC
4614,4614,August 30,Black Widow,Iggy Azalea featuring Rita Ora,3,October 18,13,7pNC5ZIKtwUK0ReSpM3P9f
4615,4615,August 30,Break Free,Ariana Grande featuring Zedd,4,August 30,8,12KUFSHFgT0XCoiSlvdQi4
4616,4616,September 6,Shake It Off,Taylor Swift,1,September 6,24,5xTtaWoae3wi06K5WfVUUH
4617,4617,September 6,Anaconda,Nicki Minaj,2,September 6,8,794F99D5BQHS5ZGRXAs7I5
4618,4618,October 4,Don't Tell 'Em,Jeremih featuring YG,6,October 25,8,0Dc7J9VPV4eOInoxUiZrsL
4619,4619,October 11,Habits (Stay High),Tove Lo,3,November 8,10,14OxJlLdcHNpgsm4DRwDOB
4620,4620,October 11,Rather Be,Clean Bandit featuring Jess Glynne,10,October 11,1,3s4U7OHV7gnj42VV72eSZ6
4621,4621,October 18,Animals,Maroon 5,3,November 22,14,2bL2gyO6kBdLkNSkxXNh6x
4622,4622,October 25,Hot Boy,Bobby Shmurda,6,November 22,6,0rFke7eNFHbGuGJUdRgjB2
4623,4623,November 1,Don't,Ed Sheeran,9,November 15,3,1IAtb2MHaGj4VNsuGN4KKc
4624,4624,November 8,Take Me to Church,Hozier,2,December 20,20,1CS7Sd1u5tWkstBhpssyjP
4625,4625,November 22,Love Me Harder,Ariana Grande and The Weeknd,7,November 22,7,5J4ZkQpzMUFojo1CtAZYpn
4626,4626,November 29,Blank Space,Taylor Swift,1,November 29,17,1p80LdxRV74UKvL8gnD7ky
4627,4627,November 29,I'm Not the Only One,Sam Smith,5,December 27,14,7795WJLVKJoAyVoOtCWqXN
4628,4628,December 13,The Heart Wants What It Wants,Selena Gomez,6,December 13,1,6wJwkMo278iWVlWl1XQ4WA
4629,4629,December 20,Lips Are Movin,Meghan Trainor,4,December 27,12,6gj08XDlv9Duc2fPOxUmVD
4630,4630,November 29,Jealous,Nick Jonas,7,January 24,10,2RqtfcLB7iOZj0zYB8Auhu
4631,4631,December 13,Uptown Funk,Mark Ronson featuring Bruno Mars,1,January 17,31,32OlwWuMpZ6b0aN2RZOeMS
4632,4632,December 27,Thinking Out Loud,Ed Sheeran,2,January 31,23,34gCuhDGsG4bRPIf9bb02f
4633,4633,January 31,Sugar,Maroon 5,2,March 28,21,2iuZJX9X9P0GKaE93xcPjk
4634,4634,February 7,Centuries,Fall Out Boy,10,February 7,2,04aAxqtGp5pv12UXAg4pkq
4635,4635,February 21,FourFiveSeconds,"Rihanna, Kanye West and Paul McCartney",4,February 28,9,78TTtXnFQPzwqlbtbwqN0y
4636,4636,February 21,Love Me like You Do,Ellie Goulding,3,March 7,15,3zHq9ouUJQFQRf3cm1rRLu
4637,4637,February 28,Style,Taylor Swift,6,March 21,9,4lIxdJw6W3Fg4vUIYCB0S5
4638,4638,March 7,Earned It,The Weeknd,3,May 2,18,4frLb7nWtsz2ymBE6k2GRP
4639,4639,March 14,Time of Our Lives,Pitbull and Ne-Yo,9,March 21,4,2bJvI42r8EF3wxjOuDav4r
4640,4640,March 28,Lay Me Down,Sam Smith,8,March 28,1,64GRDrL1efgXclrhVCeuA0
4641,4641,March 28,Trap Queen,Fetty Wap,2,May 16,25,2d8JP84HNLKhmd6IYOoupQ
4642,4642,April 4,G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,8,April 18,7,6ebkx7Q5tTxrCxKq4GYj0Y
4643,4643,April 11,Somebody,Natalie La Rose featuring Jeremih,10,April 11,2,7ioiB40H9xKs04QtIso2I3
4644,4644,April 18,See You Again,Wiz Khalifa featuring Charlie Puth,1,April 25,19,2JzZzZUQj3Qff7wapcbKjc
4645,4645,April 25,Shut Up and Dance,Walk the Moon,4,May 30,18,4kbj5MwxO1bq9wjT5g9HaA
4646,4646,May 9,Want to Want Me,Jason Derulo,5,June 20,9,7oGZAicScQt96OAW4AruYy
4647,4647,May 16,Nasty Freestyle,T-Wayne,9,May 16,4,0PT7nlpo11hYYyfnBgtilT
4648,4648,June 6,Bad Blood,Taylor Swift featuring Kendrick Lamar,1,June 6,13,273dCMFseLcVsoSWx59IoE
4649,4649,June 6,Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",8,June 6,8,5b2bu6yyATC1zMXDGScJ2d
4650,4650,June 20,"Honey, I'm Good.",Andy Grammer,9,June 20,3,4MflGTO2ZTcSQ12bWcyRgI
4651,4651,June 27,Cheerleader,Omi,1,July 25,16,023OVLNzXhX0j7CxswUt6D
4652,4652,July 11,Can't Feel My Face,The Weeknd,1,August 22,19,22VdIZQfgXJea34mQxlt81
4653,4653,July 11,Watch Me (Whip/Nae Nae),Silentó,3,July 18,18,5RIVoVdkDLEygELLCniZFr
4654,4654,July 11,Good for You,Selena Gomez featuring ASAP Rocky,5,October 3,11,578Eooad7oUyn4stovZiPg
4655,4655,July 18,Where Are Ü Now,Skrillex & Diplo with Justin Bieber,8,July 18,3,1CjiAOoegmUDgbhKzAqSkl
4656,4656,July 18,Fight Song,Rachel Platten,6,August 29,9,37f4ITSlgPX81ad2EvmVQr
4657,4657,August 1,Lean On,Major Lazer and DJ Snake featuring MØ,4,August 29,10,1Lim1Py7xBgbAkAys3AGAG
4658,4658,August 1,The Hills,The Weeknd,1,October 3,21,7fBv7CLKzipRk6EC6TWHOB
4659,4659,August 8,My Way,Fetty Wap featuring Monty,7,August 8,4,1WoOzgvz6CgH4pX6a1RKGp
4660,4660,August 22,Drag Me Down,One Direction,3,August 22,1,2K87XMYnUMqLcX3zvtAF4G
4661,4661,September 5,679,Fetty Wap featuring Remy Boyz,4,October 31,15,5NQbUaeTEOGdD6hHcre0dZ
4662,4662,September 12,Locked Away,R. City featuring Adam Levine,6,October 3,10,7x5xYW5W42OGPAdHUyyguy
4663,4663,September 19,What Do You Mean?,Justin Bieber,1,September 19,21,4B0JvthVoAAuygILe3n4Bs
4664,4664,September 26,Photograph,Ed Sheeran,10,September 26,1,1HNkqx9Ahdgi1Ixy2xkKkL
4665,4665,October 3,Hotline Bling,Drake,2,October 24,19,0wwPcA6wtMf6HUMpIRdeP7
4666,4666,October 10,Wildest Dreams,Taylor Swift,5,November 7,9,1Ov37jtRQ2YNAe8HzfczkL
4667,4667,October 17,Stitches,Shawn Mendes,4,November 7,18,5jsw9uXEGuKyJzs0boZ1bT
4668,4668,November 7,Perfect,One Direction,10,November 7,1,3NLnwwAQbbFKcEcV8hDItk
4669,4669,November 14,Hello,Adele,1,November 14,18,62PaSfnXSMyLshYJrlTuL3
4670,4670,November 21,Focus,Ariana Grande,7,November 21,1,1cdzfFjEbUbgTm5nv3FgXR
4671,4671,November 21,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,8,December 12,10,2YlZnw2ikdb837oKMKjBkW
4672,4672,November 28,Ex's & Oh's,Elle King,10,November 28,1,70eDxAyAraNTiD6lx2ZEnH
4673,4673,November 14,Sorry,Justin Bieber,1,January 23,21,09CtPGIpYB4BrO8qb1RGsF
4674,4674,December 5,Love Yourself,Justin Bieber,1,February 13,24,50kpGaPAhYJ3sGmk6vplg0
4675,4675,December 5,Here,Alessia Cara,5,February 6,11,5zUQZjVB6bfewBXWqsP9PY
4676,4676,December 19,Same Old Love,Selena Gomez,5,January 30,9,1BZG99C7Co1r6QUC3zaS59
4677,4677,January 16,Stressed Out,Twenty One Pilots,2,February 27,14,3CRDbSIZ4r5MsZ0YwxuEkn
4678,4678,February 6,Roses,The Chainsmokers featuring Rozes,6,February 13,6,3vv9phIu6Y1vX3jcqaGz5Z
4679,4679,February 13,My House,Flo Rida,4,March 19,11,6Knv6wdA0luoMUuuoYi2i1
4680,4680,February 13,Hands to Myself,Selena Gomez,7,February 13,1,1LoriJC05IrHIDwj3q0KC1
4681,4681,February 13,Work,Rihanna featuring Drake,1,March 5,18,72TFWvU3wUYdUuxejTTIzt
4682,4682,February 20,Pillowtalk,Zayn,1,February 20,16,0PDUDa38GO8lMxLCRc4lL1
4683,4683,February 20,Summer Sixteen,Drake,6,February 20,1,17Q87zeXgsAi9iQQbMu9v0
4684,4684,February 20,"Me, Myself & I",G-Eazy and Bebe Rexha,7,March 12,12,40YcuQysJ0KlGQTeGUosTC
4685,4685,March 5,Cake by the Ocean,DNCE,9,March 12,7,76hfruVvmfQbw0eYn1nmeC
4686,4686,March 19,Piece by Piece,Kelly Clarkson,8,March 19,1,3KbFtYPyVP6C7BQVgH2cCf
4687,4687,March 19,7 Years,Lukas Graham,2,April 9,15,5kqIPrATaCc2LqxVWzQGbk
4688,4688,March 26,I Took a Pill in Ibiza,Mike Posner,4,May 21,14,1MtUq6Wp1eQ8PC6BbPCj8P
4689,4689,April 2,Dangerous Woman,Ariana Grande,8,June 11,2,6RUhbFEhrvGISaQ8u2j2JN
4690,4690,April 9,No,Meghan Trainor,3,April 16,5,0l0CvurVUrr2w3Jj1hOVFc
4691,4691,April 16,Work from Home,Fifth Harmony featuring Ty Dolla Sign,4,June 11,15,4tCtwWceOPWzenK2HAIJSb
4692,4692,April 23,Panda,Desiigner,1,May 7,17,275a9yzwGB6ncAW4SxY7q3
4693,4693,May 7,One Dance,Drake featuring Wizkid and Kyla,1,May 21,20,1zi7xx7UVEFkmKfv06H8x0
4694,4694,May 14,Purple Rain,Prince and The Revolution,4,May 14,1,54X78diSLoUDI3joC2bjMz
4695,4695,May 14,When Doves Cry,Prince,8,May 14,1,51H2y6YrNNXcy3dfc3qSbA
4696,4696,May 14,Formation,Beyoncé,10,May 14,1,6g0Orsxv6glTJCt4cHsRsQ
4697,4697,May 21,Don't Let Me Down,The Chainsmokers featuring Daya,3,July 16,23,1i1fxkWeaMmKEB4T7zqbzK
4698,4698,May 21,This Is What You Came For,Calvin Harris featuring Rihanna,3,August 6,19,0azC730Exh71aQlOt9Zj3y
4699,4699,May 28,Can't Stop the Feeling!,Justin Timberlake,1,May 28,15,1WkMMavIMc4JZ8cfMmxHkI
4700,4700,May 28,Needed Me,Rihanna,7,July 2,16,4pAl7FkDMNBsjykPXo91B3
4701,4701,June 18,Just Like Fire,Pink,10,June 18,2,1xTbAN4WvWwh6ucG9hcAJ1
4702,4702,July 2,Cheap Thrills,Sia featuring Sean Paul,1,August 6,18,3S4px9f4lceWdKf0gWciFu
4703,4703,July 2,Don't Mind,Kent Jones,8,July 16,6,27PmvZoffODNFW2p7ehZTQ
4704,4704,July 9,Ride,Twenty One Pilots,5,September 10,13,2Z8WuEywRWYTKe1NybPQEW
4705,4705,July 30,Send My Love (To Your New Lover),Adele,8,September 24,8,0t7fVeEJxO2Xi4H2K5Svc9
4706,4706,August 13,Cold Water,Major Lazer featuring Justin Bieber and MØ,2,August 13,14,7zsXy7vlHdItvUSH8EwQss
4707,4707,August 20,Closer,The Chainsmokers featuring Halsey,1,September 3,32,7BKLCZ1jbUBVqRi2FVlTVw
4708,4708,August 27,Heathens,Twenty One Pilots,2,September 24,18,6i0V12jOa3mr6uu4WYhUBr
4709,4709,September 10,Treat You Better,Shawn Mendes,6,October 8,8,3QGsuHI8jO1Rx4JWLUh9jd
4710,4710,September 24,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,9,October 8,2,37FXw5QGFN7uwwsLy8uAc0
4711,4711,October 1,Let Me Love You,DJ Snake featuring Justin Bieber,4,October 8,17,0lYBSQXN6rCTvUZvg9S0lU
4712,4712,October 8,Broccoli,DRAM featuring Lil Yachty,5,November 5,12,0qy5D3OJre7SPJNMOL9I71
4713,4713,October 22,"I Hate U, I Love U",Gnash featuring Olivia O'Brien,10,October 22,2,7vRriwrloYVaoAe3a9wJHe
4714,4714,October 29,24K Magic,Bruno Mars,4,December 10,15,0KKkJNfGyhkQ5aFogxQAPU
4715,4715,October 29,Side to Side,Ariana Grande featuring Nicki Minaj,4,December 3,14,43bCmCI0nSgcT7QdMXY6LV
4716,4716,November 12,Juju on that Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,December 10,10,1lItf5ZXJc1by9SbPeljFd
4717,4717,November 19,Black Beatles,Rae Sremmurd featuring Gucci Mane,1,November 26,14,6fujklziTHa8uoM5OQSfIo
4718,4718,December 31,Deja Vu,J. Cole,7,December 31,1,6I6NX6tjGsxFAsIfGzY9lJ
4719,4719,October 15,Starboy,The Weeknd featuring Daft Punk,1,January 7,19,7MXVkk9YMctZqd1Srtv4MB
4720,4720,November 5,Don't Wanna Know,Maroon 5 featuring Kendrick Lamar,6,February 18,14,1nueTG77MzNkJTKQ0ZdGzT
4721,4721,November 19,Fake Love,Drake,8,February 18,6,343YBumqHu19cGoGARUTsd
